regiao;ano;mort_inf;baixo_peso;mort_mat;Intern_inf_CRA;ace_agua;ace_esgot_sanit;ace_ban;pop_fav_nao_urb;ace_energia;adens_hab_exce;tx_homic;roubos_rua;alfabet;quali_ens_fund_ini;quali_ens_fund_fin;ab_ens_med;ace_cel_fix;ace_int;mort_doe_cro;Incid_dengue;mort_tub_e_HIV;coleta_sel_lixo;degrad_area_verd;mob_urb;hom_acao_pol;t_medio_desloc;part_polit;grav_adolesc;trab_inf;idc_ace_cult;viol_contra_m;hom_jov_neg;vuln_fam;pess_com_ens_sup;neg_e_ind_com_ens_sup;freq_ens_sup
SANTA CRUZ;2020;3.62;0.09;130.21;10.12;0.98;0.76;0.99;0.13;0.88;0.10;8.41;2.52;0.44;5.66;4.90;10.00;0.93;0.30;282.90;403.16;14.65;0.00;-0.12;0.41;0.81;24.13;0.22;0.16;16.42;6.42;340.54;2.17;0.03;0.05;0.03;0.08
ILHA DO GOVERNADOR;2020;3.65;0.09;67.77;6.79;0.99;0.95;0.98;0.11;0.98;0.04;25.40;3.93;0.55;5.93;5.03;13.32;0.97;0.56;241.25;52.49;14.11;0.05;-0.01;0.02;8.94;28.18;0.25;0.10;4.37;23.67;230.98;4.23;0.02;0.28;0.13;0.37
ANCHIETA;2020;3.33;0.08;79.01;6.67;0.98;0.94;1.00;0.16;0.96;0.08;25.27;13.01;0.47;5.63;4.83;19.60;0.95;0.42;273.95;141.00;13.26;0.00;-0.05;0.48;17.69;20.81;0.24;0.15;24.50;47.40;279.82;7.58;0.03;0.08;0.06;0.19
SANTA TERESA;2020;3.17;0.08;0.00;2.73;1.00;0.94;0.96;0.21;0.97;0.06;22.79;9.10;0.58;6.23;5.35;7.80;0.98;0.55;211.02;170.13;12.22;0.07;-0.03;0.43;22.62;36.25;0.29;0.11;2.74;69.56;265.53;7.73;0.02;0.23;0.13;0.24
BARRA DA TIJUCA;2020;2.23;0.09;37.38;2.73;0.93;0.75;0.98;0.16;0.96;0.04;17.18;9.62;0.46;6.23;5.59;13.10;0.98;0.73;172.16;200.74;7.44;0.04;-0.13;0.72;1.37;47.11;0.23;0.06;9.78;40.45;360.06;3.47;0.01;0.49;0.19;0.48
PAVUNA;2020;3.37;0.10;124.91;11.96;0.99;0.91;0.99;0.23;0.89;0.09;42.14;9.53;0.42;5.44;4.36;18.00;0.93;0.37;264.87;178.11;16.76;0.00;-0.02;0.63;22.62;28.41;0.24;0.17;30.53;19.44;189.03;13.89;0.03;0.06;0.05;0.14
GUARATIBA;2020;3.02;0.09;127.32;10.84;0.89;0.53;0.99;0.23;0.84;0.09;16.25;4.80;0.43;5.83;4.94;14.28;0.94;0.30;299.45;993.03;11.37;0.00;-0.01;0.22;0.00;28.62;0.20;0.13;11.84;24.42;706.66;8.12;0.03;0.05;0.03;0.06
ROCINHA;2020;2.37;0.09;209.57;2.73;0.99;0.84;0.98;1.00;0.91;0.11;11.53;0.91;0.35;5.57;5.56;17.40;0.92;0.40;142.63;489.90;15.86;0.00;-0.02;0.81;4.33;30.71;0.25;0.14;0.00;2.15;207.62;4.33;0.04;0.02;0.02;0.05
JACAREZINHO;2020;5.84;0.11;0.00;20.62;0.99;0.95;0.98;0.88;0.82;0.16;16.33;7.15;0.26;5.30;5.10;8.23;0.89;0.29;144.96;175.54;15.86;0.00;-0.01;0.93;17.64;20.86;0.25;0.21;74.40;1.78;189.03;3.92;0.04;0.01;0.01;0.08
COMPLEXO DO ALEMÃO;2020;2.62;0.10;244.50;7.71;1.00;0.95;0.99;0.23;0.66;0.09;44.01;6.18;0.41;5.35;4.40;18.80;0.92;0.30;143.17;469.04;13.02;0.00;-0.08;0.31;18.77;25.68;0.25;0.17;9.43;56.82;189.03;5.84;0.04;0.02;0.01;0.04
MARÉ;2020;3.30;0.10;180.13;7.42;1.00;0.93;0.95;0.10;0.93;0.11;25.43;9.40;0.45;5.43;4.35;19.20;0.92;0.31;173.56;19.87;13.87;0.00;0.01;0.49;17.19;27.79;0.25;0.16;19.03;19.58;189.03;7.16;0.04;0.02;0.01;0.08
VIGÁRIO GERAL;2020;3.25;0.10;140.62;12.59;0.99;0.91;0.99;0.15;0.92;0.09;14.46;8.20;0.46;5.53;4.60;12.10;0.95;0.42;249.53;168.50;13.22;0.00;-0.05;0.68;13.43;27.37;0.24;0.13;10.61;1.78;255.76;5.94;0.03;0.07;0.05;0.16
REALENGO;2020;2.72;0.09;137.73;6.06;0.99;0.89;0.99;0.09;0.96;0.07;25.10;12.31;0.52;6.04;4.86;9.75;0.95;0.46;271.24;442.41;14.81;0.00;-0.02;0.49;15.64;33.45;0.22;0.11;44.75;37.71;282.30;8.23;0.02;0.11;0.08;0.21
CIDADE DE DEUS;2020;2.43;0.12;83.61;8.03;1.00;0.96;0.99;0.12;0.90;0.11;14.11;4.92;0.35;5.40;4.20;2.00;0.93;0.37;256.03;268.31;46.56;0.00;-0.04;0.56;9.48;30.00;0.24;0.21;10.74;4.56;293.38;3.63;0.03;0.03;0.02;0.08
